|    L3 bandwidth [MBytes/s]    |   25984.6724 |
|    L3 bandwidth [MBytes/s]    |   25994.0570 |
|    L3 bandwidth [MBytes/s]    |     735.6872 |
|    L3 bandwidth [MBytes/s]    |     895.0091 |
|    L3 bandwidth [MBytes/s]    |   17588.4481 |
|    L3 bandwidth [MBytes/s]    |   17888.1960 |
|    L3 bandwidth [MBytes/s]    |  393.2177 |
|    L3 bandwidth [MBytes/s]    |  713.8258 |
|    L3 bandwidth [MBytes/s]    |   14000.0621 |
|    L3 bandwidth [MBytes/s]    |   16112.6587 |
|    L3 bandwidth [MBytes/s]    | 1059.3532 |
|    L3 bandwidth [MBytes/s]    |  760.0010 |
|    L3 bandwidth [MBytes/s]    |   11470.7845 |
|    L3 bandwidth [MBytes/s]    |   15612.9913 |
|    L3 bandwidth [MBytes/s]    | 5945.6231 |
|    L3 bandwidth [MBytes/s]    | 1287.8270 |
|    L3 bandwidth [MBytes/s]    | 10361.4846 |
|    L3 bandwidth [MBytes/s]    |   14892.4792 |
|    L3 bandwidth [MBytes/s]    | 62524.8149 |
|    L3 bandwidth [MBytes/s]    | 4468.8341 |
|    L3 bandwidth [MBytes/s]    | 11437.1691 |
|    L3 bandwidth [MBytes/s]    | 13258.4344 |
|    L3 bandwidth [MBytes/s]    | 55118.6524 |
|    L3 bandwidth [MBytes/s]    | 6724.2144 |
|    L3 bandwidth [MBytes/s]    | 12776.0906 |
|    L3 bandwidth [MBytes/s]    | 12385.2003 |
|    L3 bandwidth [MBytes/s]    | 14318.2512 |
|    L3 bandwidth [MBytes/s]    | 5177.3742 |
|    L3 bandwidth [MBytes/s]    | 14826.8045 |
|    L3 bandwidth [MBytes/s]    | 15802.1563 |
|    L3 bandwidth [MBytes/s]    | 8414.7903 |
|    L3 bandwidth [MBytes/s]    | 3846.2345 |
|    L3 bandwidth [MBytes/s]    | 14913.6907 |
|    L3 bandwidth [MBytes/s]    | 23788.9835 |
|    L3 bandwidth [MBytes/s]    | 33122.3518 |
|    L3 bandwidth [MBytes/s]    | 8731.5840 |
|    L3 bandwidth [MBytes/s]    | 14951.4866 |
|    L3 bandwidth [MBytes/s]    | 23416.6355 |
|    L3 bandwidth [MBytes/s]    | 18810.9538 |
|    L3 bandwidth [MBytes/s]    | 4205.3450 |
|    L3 bandwidth [MBytes/s]    | 14931.6559 |
|    L3 bandwidth [MBytes/s]    | 23622.4851 |
|    L3 bandwidth [MBytes/s]    | 12928.4114 |
|    L3 bandwidth [MBytes/s]    | 7521.6250 |
|    L3 bandwidth [MBytes/s]    | 14821.0632 |
|    L3 bandwidth [MBytes/s]    | 23203.7661 |
|    L3 bandwidth [MBytes/s]    | 20994.6016 |
|    L3 bandwidth [MBytes/s]    | 4377.4454 |
|    L3 bandwidth [MBytes/s]    | 14678.2768 |
|    L3 bandwidth [MBytes/s]    | 23256.4551 |
|    L3 bandwidth [MBytes/s]    | 38011.7479 |
|    L3 bandwidth [MBytes/s]    | 5070.5107 |
